region,year,state,state_po,candidate,party,candidatevotes,totalvotes,number_members,prop_votes,mean_votes,avg_members,correlation,decade,regional_mean_votes,regional_mean_members
northeast,1976,Massachusetts,MA,"Ford, Gerald",republican,1030276,2547558,24.5,0.40441709276098914,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
midwest,1976,Michigan,MI,"Ford, Gerald",republican,1893742,3651590,38.7,0.518607510700818,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,Michigan,MI,"Carter, Jimmy",democrat,1696714,3651590,38.7,0.46465074118397737,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,Minnesota,MN,"Carter, Jimmy",democrat,1070440,1949931,27.3,0.5489630145887213,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,Minnesota,MN,"Ford, Gerald",republican,819395,1949931,27.3,0.4202174333348206,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
south,1976,Mississippi,MS,"Carter, Jimmy",democrat,381329,768390,13.2,0.4962701232447065,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,Mississippi,MS,"Ford, Gerald",republican,366846,768390,13.2,0.4774216218326631,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
midwest,1976,Missouri,MO,"Carter, Jimmy",democrat,998387,1953600,23.4,0.5110498566748567,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,Missouri,MO,"Ford, Gerald",republican,927443,1953600,23.4,0.47473536036036035,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
west,1976,Montana,MT,"Ford, Gerald",republican,173703,328734,25.1,0.5283998612860246,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
west,1976,Montana,MT,"Carter, Jimmy",democrat,149259,328734,25.1,0.4540418697183741,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
midwest,1976,Nebraska,NE,"Ford, Gerald",republican,359219,606749,19,0.5920388826351588,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,Nebraska,NE,"Carter, Jimmy",democrat,233293,606749,19,0.38449671940126806,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
west,1976,Nevada,NV,"Ford, Gerald",republican,101273,201876,25.7,0.5016594345043492,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
west,1976,Nevada,NV,"Carter, Jimmy",democrat,92479,201876,25.7,0.4580980403812241,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
northeast,1976,New Hampshire,NH,"Ford, Gerald",republican,185935,339627,18.2,0.5474682519352113,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
northeast,1976,New Hampshire,NH,"Carter, Jimmy",democrat,147645,339627,18.2,0.43472692100451377,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
northeast,1976,New Jersey,NJ,"Ford, Gerald",republican,1509688,3014472,32.3,0.500813409446165,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
northeast,1976,New Jersey,NJ,"Carter, Jimmy",democrat,1444653,3014472,32.3,0.4792391503387658,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
west,1976,New Mexico,NM,"Ford, Gerald",republican,211419,416590,14.7,0.5074989798122854,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
west,1976,New Mexico,NM,"Carter, Jimmy",democrat,201148,416590,14.7,0.4828440433039679,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
northeast,1976,New York,NY,"Carter, Jimmy",democrat,3244165,6668262,36.4,0.4865083285569763,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
northeast,1976,New York,NY,"Ford, Gerald",republican,2825913,6668262,36.4,0.4237855381207277,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
south,1976,North Carolina,NC,"Carter, Jimmy",democrat,927365,1677906,7.7,0.5526918671248569,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,North Carolina,NC,"Ford, Gerald",republican,741960,1677906,7.7,0.4421940204040036,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
midwest,1976,North Dakota,ND,"Ford, Gerald",republican,153684,297308,16.5,0.5169184818437446,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,North Dakota,ND,"Carter, Jimmy",democrat,136078,297308,16.5,0.4577004318753616,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,Ohio,OH,"Carter, Jimmy",democrat,2009959,4110456,32.8,0.4889868666639419,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,Ohio,OH,"Ford, Gerald",republican,2000626,4110456,32.8,0.48671631565938184,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
south,1976,Oklahoma,OK,"Ford, Gerald",republican,545708,1092251,15,0.4996177618514426,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,Oklahoma,OK,"Carter, Jimmy",democrat,532442,1092251,15,0.48747220190231,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
west,1976,Oregon,OR,"Ford, Gerald",republican,492120,1029876,28.5,0.4778439346096035,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
west,1976,Oregon,OR,"Carter, Jimmy",democrat,490407,1029876,28.5,0.47618062757069785,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
northeast,1976,Pennsylvania,PA,"Carter, Jimmy",democrat,2328677,4620787,35.3,0.5039567935072532,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
northeast,1976,Pennsylvania,PA,"Ford, Gerald",republican,2205604,4620787,35.3,0.4773221531310575,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
northeast,1976,Rhode Island,RI,"Carter, Jimmy",democrat,227636,410584,27.3,0.5544200455935935,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
northeast,1976,Rhode Island,RI,"Ford, Gerald",republican,181249,410584,27.3,0.4414419461060343,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
south,1976,South Carolina,SC,"Carter, Jimmy",democrat,450807,802583,6.7,0.5616951766982355,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,South Carolina,SC,"Ford, Gerald",republican,346149,802583,6.7,0.43129371043244125,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
midwest,1976,South Dakota,SD,"Ford, Gerald",republican,151505,300678,14.8,0.5038779026067753,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,South Dakota,SD,"Carter, Jimmy",democrat,147068,300678,14.8,0.48912125263570994,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
south,1976,Tennessee,TN,"Carter, Jimmy",democrat,825879,1476346,19.2,0.5594074830696869,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,Tennessee,TN,"Ford, Gerald",republican,633969,1476346,19.2,0.4294176297426213,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,Texas,TX,"Carter, Jimmy",democrat,2082319,4071884,11.3,0.511389568072175,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,Texas,TX,"Ford, Gerald",republican,1953300,4071884,11.3,0.4797042351894111,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
west,1976,Utah,UT,"Ford, Gerald",republican,337908,541218,17.9,0.6243473055219892,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
west,1976,Utah,UT,"Carter, Jimmy",democrat,182110,541218,17.9,0.3364817873758818,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
northeast,1976,Vermont,VT,"Ford, Gerald",republican,100387,183902,18.8,0.5458722580504834,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
northeast,1976,Vermont,VT,"Carter, Jimmy",democrat,77798,183902,18.8,0.42304053245750456,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4855849002478827,26.599999999999998
south,1976,Virginia,VA,"Ford, Gerald",republican,836554,1697094,13.7,0.4929332140706408,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,Virginia,VA,"Carter, Jimmy",democrat,813896,1697094,13.7,0.47958215632133516,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
west,1976,Washington,WA,"Ford, Gerald",republican,777732,1555534,36.4,0.49997749968821,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
west,1976,Washington,WA,"Carter, Jimmy",democrat,717323,1555534,36.4,0.46114260440466104,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
south,1976,West Virginia,WV,"Carter, Jimmy",democrat,435864,750590,32.8,0.5806951864533234,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
south,1976,West Virginia,WV,"Ford, Gerald",republican,314726,750590,32.8,0.4193048135466766,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.49422774000638936,16.474999999999998
midwest,1976,Wisconsin,WI,"Carter, Jimmy",democrat,1040232,2101336,30,0.4950336357441171,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
midwest,1976,Wisconsin,WI,"Ford, Gerald",republican,1004987,2101336,30,0.4782609730190698,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4898738566926133,25.65
west,1976,Wyoming,WY,"Ford, Gerald",republican,92717,156343,17.7,0.5930358250769142,0.4832772179480302,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
west,1976,Wyoming,WY,"Carter, Jimmy",democrat,62239,156343,17.7,0.39809265525159426,0.49497784137625217,22.33921568627451,-0.03482053949626175,1970s,0.4844927787472822,23.546153846153846
south,1980,Alabama,AL,"Reagan, Ronald",republican,654192,1341929,19.5,0.4875012016284021,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.47786121457310843,15.975
south,1980,Alabama,AL,"Carter, Jimmy",democrat,636730,1341929,19.5,0.47448859067804633,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.47786121457310843,15.975
west,1980,Alaska,AK,"Reagan, Ronald",republican,86112,158445,29.7,0.5434819653507527,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.443702449697918,23.107692307692307
west,1980,Alaska,AK,"Carter, Jimmy",democrat,41842,158445,29.7,0.2640790179557575,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.443702449697918,23.107692307692307
west,1980,Arizona,AZ,"Reagan, Ronald",republican,529688,873945,16.1,0.6060884838290739,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.443702449697918,23.107692307692307
west,1980,Arizona,AZ,"Carter, Jimmy",democrat,246843,873945,16.1,0.28244683589928427,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.443702449697918,23.107692307692307
south,1980,Arkansas,AR,"Reagan, Ronald",republican,403164,837582,11.7,0.4813427222648051,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.47786121457310843,15.975
south,1980,Arkansas,AR,"Carter, Jimmy",democrat,398041,837582,11.7,0.4752263062004675,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.47786121457310843,15.975
west,1980,California,CA,"Reagan, Ronald",republican,4522994,8582938,24.4,0.5269750288304541,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.443702449697918,23.107692307692307
west,1980,California,CA,"Carter, Jimmy",democrat,3082943,8582938,24.4,0.35919436910764124,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.443702449697918,23.107692307692307
west,1980,Colorado,CO,"Reagan, Ronald",republican,652264,1184450,15.2,0.5506893494871037,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.443702449697918,23.107692307692307
west,1980,Colorado,CO,"Carter, Jimmy",democrat,368009,1184450,15.2,0.3107003250453797,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.443702449697918,23.107692307692307
northeast,1980,Connecticut,CT,"Reagan, Ronald",republican,677210,1406285,25.8,0.4815595700729226,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.4339271192117912,24.655555555555555
northeast,1980,Connecticut,CT,"Carter, Jimmy",democrat,541732,1406285,25.8,0.3852220566954778,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.4339271192117912,24.655555555555555
south,1980,Delaware,DE,"Reagan, Ronald",republican,111252,235668,22.6,0.47207087937267683,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.47786121457310843,15.975
south,1980,Delaware,DE,"Carter, Jimmy",democrat,105754,235668,22.6,0.4487414498362103,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.47786121457310843,15.975
NA,1980,District of Columbia,DC,"Carter, Jimmy",democrat,130231,173889,19.6,0.7489317898199426,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.4415000373801678,19.6
NA,1980,District of Columbia,DC,"Reagan, Ronald",republican,23313,173889,19.6,0.134068284940393,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.4415000373801678,19.6
south,1980,Florida,FL,"Reagan, Ronald",republican,2046951,3686927,12,0.5551916270650328,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.47786121457310843,15.975
south,1980,Florida,FL,"Carter, Jimmy",democrat,1419475,3686927,12,0.38500219830769633,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.47786121457310843,15.975
south,1980,Georgia,GA,"Carter, Jimmy",democrat,890955,1596805,12.5,0.5579610534786652,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.47786121457310843,15.975
south,1980,Georgia,GA,"Reagan, Ronald",republican,654168,1596805,12.5,0.409673065903476,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.47786121457310843,15.975
west,1980,Hawaii,HI,"Carter, Jimmy",democrat,135879,303287,34.4,0.4480211812573569,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.443702449697918,23.107692307692307
west,1980,Hawaii,HI,"Reagan, Ronald",republican,130112,303287,34.4,0.42900618885741887,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.443702449697918,23.107692307692307
west,1980,Idaho,ID,"Reagan, Ronald",republican,290699,437431,20.1,0.6645596676961624,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.443702449697918,23.107692307692307
west,1980,Idaho,ID,"Carter, Jimmy",democrat,110192,437431,20.1,0.25190715792890767,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.443702449697918,23.107692307692307
midwest,1980,Illinois,IL,"Reagan, Ronald",republican,2358049,4749721,29.5,0.49646052894475273,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.45834472172568824,23.633333333333333
midwest,1980,Illinois,IL,"Carter, Jimmy",democrat,1981413,4749721,29.5,0.41716408184817594,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.45834472172568824,23.633333333333333
